source,target,tgt_lng
Paperless Enterprise,Paperless Enterprise,
Single-Tenant-SaaS-Lösung,Solution SaaS à locataire unique,
Paperless-ngx,Paperless-ngx,
Dokumentenmanagementsystem,Système de gestion documentaire,
WORM Object Lock,WORM Object Lock,
Compliance Mode,Mode de conformité,
Docker,Docker,
SFTP,SFTP,
FTPS,FTPS,
WebDAV,WebDAV,
API,API,
Anwenderunternehmen,entreprise utilisatrice,
Verfahrensbeschreibung,description de procédure,
Anbieter,fournisseur,
Systemumgebung,environnement système,
2026-02,février 2026,
Rahmen-Verfahrensdokumentation,documentation cadre de procédure,
WORM-Speicher,stockage WORM,
Object Lock,verrouillage d'objet,
GoBD,GoBD,
Least-Privilege-Prinzip,Principe du moindre privilège,
SSH,SSH,
Schlüsselbasierter Authentifizierung,Authentification basée sur clés,
Rollenbasierte Berechtigungen,Autorisations basées sur les rôles,
Belegfluss,flux de documents,
Papierbelege,documents papier,
E-Mail-Rechnungen,factures par courrier électronique,
Archivierung,archivage,
Archivbereich,domaine d'archivage,
Originale,originaux,
Duplikaten,doublons,
Archivkonzept,concept d'archivage,
Systemaktionen,actions du système,
Metadaten,métadonnées,
Systemereignisse,événements système,
Logs,journaux,
Systemzugriff,accès au système,
Mandantentrennung,séparation des locataires,
Verschlüsselte Datenübertragung,transfert de données chiffrées,
Verfahrensdokumentation,documentation des procédures,
Volltextsuche,recherche plein texte,
Arbeitskopien,copies de travail,
Arbeitsbereich,zone de travail,
Datensicherung,Sauvegarde des données,
Wiederherstellung,Restauration,
Protokollierung,Journalisation,
Nachvollziehbarkeit,Traçabilité,
TOM,TOM,
AVV,AVV,
Datensicherheit,Sécurité des données,
Eigenschaften der Protokolle,Propriétés des journaux,
Fehler- und Ausnahmebehandlung,Gestion des erreurs et des exceptions,
Abgrenzung,Délimitation,
Ergänzungspflicht,Obligation d'actualisation,
Backup,Sauvegarde,
Archivdaten,Données d'archives,
